id	page	radical	strokes	desc	jis	level	unicode	sub	sub_kind	sub_rule	cross	ivs	cid	glyph	ids	ids_char	glyphwiki
p10-0	10	一	1	尓−小	2-1-1	4											
p10-1	10	一	1	朽のつくり	2-1-2	4									丂		
p10-2	10	一	1	ぼう／一			4E04										
p10-3	10	一	1	一／ぼう			4E05										
p10-4	10	一	2					凡	包摂適用	37	1	51E1 E0101	14041				
p10-5	10	一	2	勹＜一				勺	包摂適用	32	1	52FA E0100	13807		⿵勹一		u2ff5-u52f9-u4e00
p10-6	10	一	2	一／力				万	デザイン差				1484	1	⿱一力		u2ff1-u4e00-u529b
p10-7	10	一	2	鼾のへん−自−田			4E0C										
p10-8	10	一	3	鼾のへん−自−田			4E93										
p10-9	10	一	3	丈＋一の右上に丶	1-14-2	3											
p10-10	10	一	3	眄のつくり	2-1-3	4									丏		
p10-11	10	一	3	刃／一	2-1-4	4									⿱刃一	丒	u2ff1-u5203-u4e00
p10-12	10	一	4	卅			534C				1				卅		
p10-13	10	一	4	三／二								4E8C E0100	3275		⿱三二		u2ff1-u4e09-u4e8c
p10-14	10	一	5	七／（七＋七）	1-14-3	3									⿱七⿰七七	㐂	u2ff1-u4e03-u2ff0-u4e03-u4e03
p10-15	10	一	5	匕／（匕＋匕）				※［＃「七／（七＋七）」、第3水準1-14-3］	包摂適用			3402 E0101	13697		⿱匕⿰匕匕		u2ff1-u5315-u2ff0-u5315-u5315
p10-16	10	一	5	王／厶			4E1F								⿱王厶	丟	u2ff1-u738b-u53b6
p10-17	10	一	6	柳の本字			4E23										
p10-18	10	一	6	丙			4E24								丙		
p10-19	10	丨	0	十−一	1-14-4	3											
p10-20	10	丨	1	収−又	2-1-5	4											
p10-21	10	丨	2	Ｙ	2-1-6	4									Ｙ		
p10-22	10	丨	3	挈−刀−手	1-14-5	3											
p10-23	10	丨	3	蚌のつくり	1-14-6	3									丰		
p10-24	10	丨	3	虱	2-1-7	4									虱		
p10-25	10	丨	9	叢−取			4E35										
p10-26	10	丶	4	麈−鹿				主	包摂適用			4E3B E0101	13812				
p10-27	10	丿	0	乂−丿	2-1-8	4											
p10-28	10	丿	0	迅−しんにょう−十			4E41										
p10-29	10	丿	1	〆の続いてる部分をとったもの				〆	包摂適用			4E44 E0100	14304				
p11-0	11	丿	2	托のつくり	2-1-9	4									乇		
p11-1	11	丿	2	公の右上の欠けたもの	2-1-10	4											
p11-2	11	丿	5	派のつくり	2-1-11	4									𠂢		
p11-3	11	丿	5	衆−血	2-1-12	4											
p11-4	11	丿	5	殷のへん	2-1-13	4									㐆		
p11-5	11	丿	5	師のへん	2-1-14	4									𠂤		
p11-6	11	丿	5	昔			20017								昔		
p11-7	11	乚	0	礼のつくり	2-1-15	4									乚		
p11-8	11	乚	1	也−ぼう			4E5C										
p11-9	11	乚	2	力＋礼のつくり			529C				1				⿰力乚	劜	u2ff0-u529b-u4e5a
p11-10	11	乚	3	幺＋礼のつくり			4E63								⿰幺乚	乣	u2ff0-u5e7a-u4e5a
p11-11	11	乚	3	土へん＋礼のつくり			5720				1				⿰土乚	圠	u2ff0-u571f-u4e5a
p11-12	11	乚	4	戸の旧字＋乙			6239				1						
p11-13	11	乚	5	示＋礼のつくり							1	793C E0101	8579		⿰示乚	礼	u2ff0-u793a-u4e5a
p11-14	11	乚	5	占＋礼のつくり	2-1-16	4									⿰占乚	乩	u2ff0-u5360-u4e5a
p11-15	11	乚	5	台＋礼のつくり			4E68								⿰台乚	乨	u2ff0-u53f0-u4e5a
p11-16	11	乚	6	耳＋礼のつくり			8034				1				⿰耳乚	耴	u2ff0-u8033-u4e5a
p11-17	11	乚	6	自＋礼のつくり			81EB				1				⿰自乚	臫	u2ff0-u81ea-u4e5a
p11-18	11	乚	7	郛のへん＋礼のつくり				乳	包摂適用			4E73 E0101	13968		⿰孚乚	乳	u2ff0-u5b5a-u4e5a
p11-19	11	乚	7	折／乙			4E74								⿱折乙	乴	u2ff1-u6298-u4e59
p11-20	11	乚	7	辛＋礼のつくり			4E75								⿰辛乚	乵	u2ff0-u8f9b-u4e5a
p11-21	11	乚	8	朝のへん＋礼のつくり			4E79								⿰𠦝乚	乹	u2ff0-u2099d-u4e5a
p11-22	11	乚	8	金＋礼のつくり			91D3				1				⿰金乚	釓	u2ff0-u91d1-u4e5a
p11-23	11	乚	8	金＋乙			91D4				1				⿰金乙	釔	u2ff0-u91d1-u4e59
p11-24	11	乚	10	孚＋礼のつくり			4E7F								⿰孚乚	乳	u2ff0-u5b5a-u4e5a
p11-25	11	乚	11	鳥＋乙	2-94-1	4					1				⿰鳥乙	鳦	u2ff0-u9ce5-u4e59
p11-26	11	乚	15	齒＋礼のつくり	2-94-75	4					1				⿰齒乚	齓	u2ff0-u9f52-u4e5a
p11-27	11	二	1	行のつくり	1-14-7	3									亍		
p11-28	11	二	2	研のつくり	1-84-17	3									开		
p11-29	11	二	2	二／二			4E96								⿱二二	亖	u2ff1-u4e8c-u4e8c
p11-30	11	二	2	鼾のへん−自−田			4E93				1						
p11-31	11	二	3	山／二			4E97								⿱山二	亗	u2ff1-u5c71-u4e8c
p11-32	11	二	3	大／二			5933				1				⿱大二	夳	u2ff1-u5927-u4e8c
p11-33	11	二	4	二／心			5FC8				1				⿱二心	忈	u2ff1-u4e8c-u5fc3
p11-34	11	二	6	參	2-1-17	4									參		
p11-35	11	二	6	二／（勹＜方）			3AC4				1				⿱二⿵勹方		u2ff1-u4e8c-u2ff5-u52f9-u65b9
p12-0	12	亠	1	氓のへん				亡	包摂適用			4EA1 E0101	14031		亡		
p12-1	12	亠	4	皎のつくり				交	デザイン差	UCV235		4EA4 E0101	13439		交		
p12-2	12	亠	3	麈−鹿							1	4E3B E0101	13812				
p12-3	12	亠	5	流のつくり	2-1-18	4									㐬		
p12-4	12	亠	7	亠／兌	1-14-50	3					1				⿱亠兌	兗	u2ff1-u4ea0-u514c
p12-5	12	亠	7	京			4EAF								京		
p12-6	12	亠	8	田＋十＋畝のつくり			755E				1				⿰⿰田十久		u2ff0-u2ff0-u7530-u5341-u4e45
p12-7	12	亠	8	亠／（田＋畝のつくり）							1	755D E0101	20174		⿱亠⿰田久		u2ff1-u4ea0-u2ff0-u7530-u4e45
p12-8	12	亠	8	亠／口／田			7557				1				⿱⿱亠口田		u2ff1-u2ff1-u4ea0-u53e3-u7530
p12-9	12	亠	9					商	デザイン差	UCV62	1	5546 E0101	13830				
p12-10	12	亠	9	滴のつくり	2-4-4	4					1				啇		
p12-11	12	亠	9	璃のつくり	2-82-78	4					1				离		
p12-12	12	亠	10	亠／舛／木			6909				1				⿱⿱亠舛木		u2ff1-u2ff1-u4ea0-u821b-u6728
p12-13	12	亠	11	譲のつくり	2-1-19	4									㐮		
p12-14	12	亠	14	羸	2-5-84	4					1				羸		
p12-15	12	亠	17	羸	2-87-91	4					1				羸		
p12-16	12	亠	18	鶉のへん＋單	2-4-50	4					1				⿰享單	嚲	u2ff0-u4eab-u55ae
p12-17	12	亠	19	羸			81DD				1				羸		
p12-18	12	亠	20	亠／興	2-1-20	4									⿱亠興		u2ff1-u4ea0-u8208
p12-19	12	亠	20	雍／（餮−殄）			9954				1						
p12-20	12	亠	21	羸	2-93-5	4					1				羸		
p12-21	12	亠	22	羸			9E01				1				羸		
p12-22	12	人	0	にんべん	2-1-21	4									亻		
p12-23	12	人	0	人がしら	2-1-22	4									𠆢		
p12-24	12	人	1	人がしら／一	2-1-23	4									⿱𠆢一		u2ff1-u201a2-u4e00
p12-25	12	人	2	訛−言				化	包摂適用	77	1	5316 E0101	13665				
p12-26	12	人	2	にんべん＋丁	2-1-24	4									⿰亻丁	仃	u2ff0-u4ebb-u4e01
p12-27	12	人	2	にんべん＋八	2-1-25	4									⿰亻八	仈	u2ff0-u4ebb-u516b
p12-28	12	人	2	人がしら／十	2-1-26	4									⿱𠆢十		u2ff1-u201a2-u5341
p12-29	12	人	3	にんべん＋乞	1-14-8	3									⿰亻乞	仡	u2ff0-u4ebb-u4e5e
