id	desc	sub	mj	ivs	iou	runner_up	candidates
p14-42	にんべん＋卷	倦	MJ006858	5026_E0103	0.970	0.625	2
p16-20	にんべん＋槿のつくり	僅	MJ007049	50C5_E0103	0.980	0.496	2
p17-31	にんべん＋諸	儲	MJ007191	5132_E0103	0.979	0.856	2
p17-48		兎	MJ007231	514E_E0103	0.971	0.743	2
p18-10	冖／兔	冤	MJ007346	51A4_E0103	0.930	0.826	5
p18-29	鰌のつくり	酋	MJ026434	914B_E0103	0.991	0.533	3
p19-4	冖／兔	冤	MJ007346	51A4_E0103	0.930	0.826	5
p24-7	二点しんにょうの辻	辻	MJ025761	8FBB_E0103	0.952	0.653	2
p25-3		卿	MJ007915	537F_E0104	0.959	0.821	5
p26-14		叛	MJ008009	53DB_E0103	0.958	0.708	5
p26-17	溲のつくり	叟	MJ008019	53DF_E0103	0.987	0.896	3
p28-8	口＋悄のつくり	哨	MJ008279	54E8_E0103	0.948	0.524	2
p29-10	口＋（餮−殄）	喰	MJ008494	55B0_E0103	0.964	0.638	2
p30-29	口＋曾	噌	MJ008657	564C_E0103	0.938	0.365	2
p30-30		嘲	MJ008622	5632_E0103	0.992	0.901	2
p31-46	口＋轉	囀	MJ008783	56C0_E0103	0.917	0.822	2
p34-47	土へん＋睹のつくり	堵	MJ009177	5835_E0103	0.974	0.885	2
p38-9	女＋（勹＜一）	妁	MJ009557	5981_E0102	0.533	0.474	2
p39-10	女＋俛のつくり	娩	MJ009734	5A29_E0103	0.974	0.682	2
p41-41	冖／兔	冤	MJ007346	51A4_E0103	0.930	0.826	5
p43-22	尸＋悄のつくり	屑	MJ010355	5C51_E0103	0.991	0.592	2
p43-27	居	屠	MJ010374	5C60_E0103	0.990	0.695	2
p49-22		廟	MJ011069	5EDF_E0103	0.994	0.699	2
p52-4	徴	徽	MJ011363	5FBD_E0103	0.987	0.601	2
p53-0		恢	MJ011539	6062_E0105	0.981	0.500	3
p54-15	兪／心	愈	MJ011721	6108_E0103	0.971	0.558	3
p56-10	りっしんべん＋頼	懶	MJ012032	61F6_E0102	0.607	0.483	2
p56-46		芦	MJ021562	82A6_E0103	0.939	0.639	8
p57-51		抛	MJ012223		0.489	0.000	1
p58-34	てへん＋陟のつくり	捗	MJ012413	6357_E0103	0.979	0.779	2
p58-35	てへん＋俛のつくり	挽	MJ012376	633D_E0103	0.978	0.809	2
p59-8	てへん＋卷	捲	MJ012437	6372_E0103	0.960	0.626	2
p59-47	てへん＋（剪−刀）	揃	MJ012521	63C3_E0103	0.970	0.891	2
p60-42	てへん＋褶のつくり	摺	MJ012732	647A_E0103	0.976	0.710	2
p61-13	てへん＋饌のつくり	撰	MJ012791	64B0_E0103	0.987	0.794	2
p61-43	てへん＋櫂のつくり	擢	MJ012842	64E2_E0103	0.979	0.739	2
p66-2	日＋誨のつくり	晦	MJ013297	6666_E0103	0.990	0.805	2
p69-52	二点しんにょうの腿	腿	MJ021169	817F_E0103	0.979	0.753	2
p71-4	木＋（勹＜一）	杓	MJ013616	6753_E0103	0.972	0.751	2
p75-28	二点しんにょうの槌	槌	MJ014341	69CC_E0103	0.978	0.706	2
p75-29	木＋（螂−虫）	榔	MJ014268	6994_E0103	0.989	0.885	2
p75-30	木＋（示＋申）	榊	MJ014256	698A_E0103	0.991	0.585	2
p76-3	二点しんにょうの樋	樋	MJ014417	6A0B_E0103	0.955	0.705	2
p76-39	木＋墫のつくり	樽	MJ014480	6A3D_E0103	0.966	0.483	2
p77-47	木＋節	櫛	MJ014671	6ADB_E0104	0.990	0.735	4
p78-47	艱のへん＋欠	歎	MJ014799	6B4E_E0103	0.965	0.606	3
p79-39	毀	毀	MJ014924		0.484	0.000	1
p81-34	さんずい＋（岌−山）	汲	MJ015106	6C72_E0103	0.978	0.775	2
p83-51	滔	淫	MJ015492	6DEB_E0103	0.983	0.585	2
p85-30	さんずい＋縊のつくり	溢	MJ015692	6EA2_E0104	0.961	0.563	3
p85-32	さんずい＋嫋のつくり	溺	MJ015723	6EBA_E0103	0.970	0.813	2
p86-11	二点しんにょうの漣	漣	MJ015845	6F23_E0103	0.977	0.744	2
p88-20	瀦	瀦	MJ016176	7026_E0103	0.984	0.844	2
p88-21	さんずい＋靜	瀞	MJ016161	701E_E0103	0.972	0.783	5
p88-22	さんずい＋陟のつくり＋頁	瀕	MJ016143	7015_E0103	0.980	0.839	2
p88-44	さんずい＋艱のへん＋隹	灘	MJ016238	7058_E0103	0.974	0.619	2
p89-4	火＋（勹＜一）	灼	MJ016282	707C_E0103	0.983	0.728	2
p90-12	剪	煎	MJ016480	714E_E0103	0.982	0.846	2
p90-13	火＋柬	煉	MJ016475	7149_E0103	0.990	0.763	2
p90-34	火＋（戸の旧字＋栩のつくり）	煽	MJ016532	717D_E0104	0.983	0.653	3
p92-24	片＋婢のつくり	牌	MJ016783	724C_E0103	0.993	0.752	2
p93-0	呀のつくり	牙	MJ016801	7259_E0103	0.987	0.739	3
p93-10	言＋呀のつくり	訝	MJ024363	8A1D_E0104	0.978	0.776	4
p93-13	呀のつくり＋鳥	鴉	MJ029451	9D09_E0103	0.975	0.906	3
p94-40	鰌のつくり＋犬	猷	MJ017027	7337_E0104	0.981	0.626	2
p99-15	曾＋瓶のつくり	甑	MJ017602	7511_E0107	0.972	0.684	4
p101-3		疼	MJ017778	75BC_E0103	0.980	0.673	2
p106-7	敝／目	瞥	MJ018321	77A5_E0103	0.985	0.344	2
p109-11	示＋おおざと	祁	MJ018763	7941_E0103	0.992	0.439	2
p109-19	示＋氏	祇	MJ018771	7947_E0103	0.992	0.550	2
p110-19	示＋爾	禰	MJ018969	79B0_E0103	0.969	0.445	3
p110-26	禾／几	禿	MJ018991		0.499	0.000	1
p110-38	禾＋怦のつくり	秤	MJ019033	79E4_E0103	0.945	0.673	2
p111-16	禾＋婢のつくり	稗	MJ019088	7A17_E0103	0.993	0.837	2
p113-22	竹かんむり／（岌−山）	笈	MJ019380	7B08_E0104	0.968	0.791	3
p114-27	竹かんむり／（剪−刀）	箭	MJ019555	7BAD_E0103	0.962	0.888	2
p114-28		箸	MJ019568	7BB8_E0103	0.945	0.635	2
p114-29		篇	MJ019589	7BC7_E0103	0.967	0.652	2
p114-50		篝	MJ019610	7BDD_E0103	0.994	0.855	2
p115-41		簾	MJ019721	7C3E_E0104	0.979	0.630	3
p116-27	米＋刄	籾	MJ019806	7C7E_E0104	0.982	0.383	3
p122-51		翰	MJ020723	7FF0_E0103	0.951	0.778	3
p126-37	舟＋溲のつくり	艘	MJ021435	8258_E0103	0.964	0.891	3
p127-20	くさかんむり／氓のへん	芒	MJ021527	8292_E0103	0.947	0.668	3
p127-31		芦	MJ021562	82A6_E0103	0.939	0.639	8
p128-30	くさかんむり／（咨−口）	茨	MJ021802	8328_E0103	0.985	0.684	3
p130-21	くさかんむり／曷	葛	MJ022336	845B_E0103	0.991	0.680	7
p130-43	茲／子	孳	MJ010088	5B73_E0103	0.442	0.374	2
p131-38	韈のつくり	蔑	MJ022670	8511_E0105	0.978	0.835	5
p131-39	二点しんにょうの蓬	蓬	MJ022599	84EC_E0103	0.985	0.679	5
p132-28	竹かんむり／敝	蔽	MJ022746	853D_E0104	0.988	0.772	3
p133-26	くさかんむり／（「こざとへん＋顏のへん」の「彡」に代えて「生」）	薩	MJ022966	85A9_E0103	0.983	0.708	4
p133-27		薯	MJ022984	85AF_E0103	0.982	0.580	3
p134-7		藷	MJ023117	85F7_E0104	0.993	0.862	3
p136-29	虫＋悄のつくり	蛸	MJ023458	86F8_E0103	0.994	0.631	2
p137-12	飮のへん＋虫	蝕	MJ023567	8755_E0103	0.994	0.675	2
p143-3		訊	MJ024341	8A0A_E0104	0.974	0.789	2
p143-24	言＋（麈−鹿）	註	MJ024401	8A3B_E0104	0.971	0.873	3
p143-26	言＋呀のつくり	訝	MJ024363	8A1D_E0104	0.978	0.776	4
p143-45		詮	MJ024459	8A6E_E0103	0.965	0.775	2
p144-44	言＋顏のへん	諺	MJ024640	8AFA_E0103	0.970	0.593	2
p145-13	二点しんにょうの謎	謎	MJ024670	8B0E_E0103	0.975	0.822	2
p145-23		謬	MJ024714	8B2C_E0103	0.949	0.715	2
p147-15	豸＋（勹＜一）	豹	MJ024955	8C79_E0103	0.986	0.708	2
p148-11	貝＋睹のつくり	賭	MJ025088	8CED_E0103	0.991	0.815	2
p153-23	二点しんにょうの辻	辻	MJ025761	8FBB_E0103	0.952	0.653	2
p153-25	二点しんにょうの辿	辿	MJ025768	8FBF_E0103	0.941	0.632	2
p153-26	二点しんにょうの迂	迂	MJ025773	8FC2_E0103	0.951	0.527	2
p153-27	二点しんにょうの迄	迄	MJ025778	8FC4_E0103	0.978	0.706	2
p154-26	二点しんにょうの這	這	MJ025931	9019_E0103	0.991	0.700	2
p154-27	二点しんにょうの逗	逗	MJ025927	9017_E0103	0.991	0.681	2
p154-28	二点しんにょうの逢	逢	MJ025952	9022_E0104	0.986	0.583	2
p155-7	二点しんにょうの逼	逼	MJ026003	903C_E0103	0.965	0.678	2
p155-19	二点しんにょうの遡	遡	MJ026090	9061_E0103	0.975	0.672	2
p155-20	二点しんにょうの遜	遜	MJ026079	905C_E0103	0.981	0.675	2
p157-25		鄭	MJ026398	912D_E0103	0.971	0.618	2
p157-43	鰌のつくり	酋	MJ026434	914B_E0103	0.991	0.533	3
